[   66274ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66397ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66450ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66744ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66768ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66924ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   66967ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67101ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67133ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67284ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67318ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67423ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67478ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67688ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   67725ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68060ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68097ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68293ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68325ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68468ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68508ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68704ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68783ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   68986ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
[   69025ms] [ERROR] Manifest: Line: 1, column: 1, Syntax error. @ http://localhost:5180/manifest.webmanifest:0
